season,team,bias1-mean,bias1-std,bias2-mean,bias2-std,bias3-mean,bias3-std,bias0-ap-mean,bias0-ap-std,bias0-mean-mean,bias0-mean-std,n
2014,air-force-falcons,0.3150208623087622,0.13793103448275862,0.9506258692628651,0.15804597701149425,0.885952712100139,0.15086206896551724,0.2635605006954103,0.21408045977011494,0.9394993045897079,0.28304597701149425,0.1689847009735744
2014,alabama-crimson-tide,0.9958275382475661,0.9885057471264368,0.03337969401947149,0.9813218390804598,0.03337969401947149,0.9899425287356322,0.9930458970792768,0.15373563218390804,0.06884561891515995,0.1278735632183908,0.9687065368567455
2014,arizona-state-sun-devils,0.8324061196105702,0.6063218390804598,0.2948539638386648,0.6451149425287356,0.3031988873435327,0.639367816091954,0.8873435326842837,0.7112068965517241,0.2698191933240612,0.75,0.8734353268428373
2014,arizona-wildcats,0.7037552155771906,0.8125,0.25591098748261476,0.8146551724137931,0.22948539638386647,0.8146551724137931,0.7691237830319889,0.7420977011494253,0.25591098748261476,0.7816091954022989,0.7621696801112656
2014,arkansas-razorbacks,0.09318497913769123,0.6551724137931034,0.8623087621696801,0.44396551724137934,0.8331015299026425,0.4396551724137931,0.10987482614742698,0.8505747126436781,0.9040333796940194,0.7413793103448276,0.23922114047287898
2014,auburn-tigers,0.8004172461752433,0.9238505747126436,0.0737134909596662,0.9339080459770115,0.07649513212795549,0.9353448275862069,0.9054242002781642,0.28304597701149425,0.16411682892906815,0.28160919540229884,0.9283727399165508
2014,baylor-bears,0.7162726008344924,0.853448275862069,0.10570236439499305,0.8692528735632183,0.10570236439499305,0.867816091954023,0.8066759388038943,0.20114942528735633,0.06884561891515995,0.20402298850574713,0.9687065368567455
2014,boise-state-broncos,0.4381084840055633,0.548132183908046,0.5006954102920723,0.6063218390804598,0.43671766342141866,0.6206896551724138,0.46453407510431155,0.5316091954022989,0.6230876216968011,0.7341954022988506,0.4965229485396384
2014,boston-college-eagles,0.02086230876216968,0.34626436781609193,0.7461752433936022,0.32686781609195403,0.7489568845618915,0.33477011494252873,0.015299026425591099,0.5804597701149425,0.7649513212795549,0.6968390804597702,0.14255910987482615
2014,byu-cougars,0.3574408901251738,0.8074712643678161,0.5271210013908206,0.7464080459770115,0.40333796940194716,0.7600574712643678,0.4631432545201669,0.9698275862068966,0.7440890125173852,0.9755747126436781,0.48400556328233657
2014,cincinnati-bearcats,0.1571627260083449,0.13505747126436782,0.8518776077885952,0.15301724137931033,0.9214186369958275,0.14798850574712644,0.12656467315716272,0.22701149425287356,0.8303198887343533,0.27155172413793105,0.17663421418636996
2014,clemson-tigers,0.5730180806675939,0.5172413793103449,0.4506258692628651,0.5545977011494253,0.37343532684283726,0.5531609195402298,0.545201668984701,0.7327586206896551,0.4617524339360223,0.7083333333333334,0.8052851182197497
